UUID,USERNAME,PASSWORD,INVENTORY,WISHLIST,STATUS,OLD USERNAME,OLD PASSWORD,INVENTORY HISTORY,WISHLIST HISTORY,POINTS,INCOMPLETE TRADE OFFSET
e822991d-db9c-490a-b199-0e805debe29f,requesteduser2,passrq2,31b4fa78-24f9-40e2-a2db-92d37416a6c1,14a26b95-5afa-4352-9ef6-76b2637d86a7/4988969f-63e7-4570-ad40-5a18dd8c77c5,REQUESTED,requesteduser2old,passrq2old,,,69,0
c0967a87-159e-4f9b-8d00-119c048cb011,flaggeduser2,passfl2,6e6f7bf3-002a-433f-aac8-38bd4012d820,1007c400-bb38-43cd-b4bd-487c77e92548/c83dcd95-43a3-4236-9b2b-eb8a8d2d548d,PROBATION,flaggeduser2old,passfl2old,,,22,0
b27125ea-1e17-4389-aafb-79430f2a3028,user4,pass4,11badee7-203b-407e-a5d3-36e961cb432d/a0460c74-970e-4ada-bb8d-d4130e17bf74,92434060-7d85-4906-b837-9f8731cf718c/c1e2afeb-d3cf-4f0d-8d7e-2f220149a711/e1957e03-d329-44aa-9a60-e6a4c622a57d/252e3379-db36-4f13-b39f-4a15cd05e919/8704126a-de8e-4582-8024-32a2c582a460/dc279b8c-36b9-45f9-8965-5410ca13536d,PREMIUM,user4old,pass4old,,,750,0
e4f3e3fe-cfff-45b8-a3df-3feb5cdc0525,frozenuser2,passfz2,c83dcd95-43a3-4236-9b2b-eb8a8d2d548d,9351fe9a-f696-4dc0-b5a7-31b82a09aed9/31b4fa78-24f9-40e2-a2db-92d37416a6c1,FROZEN,frozenuser2old,passfz2old,,,98,0
5ccb8a53-c127-4d1f-8af1-c87246f1f162,user1,pass1,92434060-7d85-4906-b837-9f8731cf718c/c1e2afeb-d3cf-4f0d-8d7e-2f220149a711,e1957e03-d329-44aa-9a60-e6a4c622a57d/252e3379-db36-4f13-b39f-4a15cd05e919/8704126a-de8e-4582-8024-32a2c582a460/dc279b8c-36b9-45f9-8965-5410ca13536d/11badee7-203b-407e-a5d3-36e961cb432d/a0460c74-970e-4ada-bb8d-d4130e17bf74,GOOD,user1old,pass1old,,,0,0
6df38fc1-4ea1-432e-bab9-cf8fad94a699,requesteduser1,passrq1,9351fe9a-f696-4dc0-b5a7-31b82a09aed9,31b4fa78-24f9-40e2-a2db-92d37416a6c1/14a26b95-5afa-4352-9ef6-76b2637d86a7,REQUESTED,requesteduser1old,passrq1old,,,128,0
09b56865-53d0-45a5-9478-e38a18cbef8c,flaggeduser1,passfl1,c0c01452-7867-4680-b86b-6cfd4c0de684,6e6f7bf3-002a-433f-aac8-38bd4012d820/1007c400-bb38-43cd-b4bd-487c77e92548,PROBATION,flaggeduser1old,passfl1old,,,193,0
9f63ff94-9a03-49cf-9567-e05351a04e04,user3,pass3,8704126a-de8e-4582-8024-32a2c582a460/dc279b8c-36b9-45f9-8965-5410ca13536d,92434060-7d85-4906-b837-9f8731cf718c/c1e2afeb-d3cf-4f0d-8d7e-2f220149a711/e1957e03-d329-44aa-9a60-e6a4c622a57d/252e3379-db36-4f13-b39f-4a15cd05e919/11badee7-203b-407e-a5d3-36e961cb432d/a0460c74-970e-4ada-bb8d-d4130e17bf74/c0c01452-7867-4680-b86b-6cfd4c0de684,PREMIUM,user3old,pass3old,,,500,0
589bd475-c61e-4ef4-bd6b-0948de95bfdb,user2,pass2,e1957e03-d329-44aa-9a60-e6a4c622a57d/252e3379-db36-4f13-b39f-4a15cd05e919,92434060-7d85-4906-b837-9f8731cf718c/c1e2afeb-d3cf-4f0d-8d7e-2f220149a711/8704126a-de8e-4582-8024-32a2c582a460/dc279b8c-36b9-45f9-8965-5410ca13536d/11badee7-203b-407e-a5d3-36e961cb432d/a0460c74-970e-4ada-bb8d-d4130e17bf74,GOOD,user2old,pass2old,,,250,0
ceb1e2d2-1e74-4904-baf7-c44f394f0d95,frozenuser1,passfz1,1007c400-bb38-43cd-b4bd-487c77e92548,c83dcd95-43a3-4236-9b2b-eb8a8d2d548d/9351fe9a-f696-4dc0-b5a7-31b82a09aed9,FROZEN,frozenuser1old,passfz1old,,,28,0
